date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:13	21658/21658	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202015%2003:49:54%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/rmt.png	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/rmt.png	(from http://www.bobsrehabcentre.com/)
16:43:14	22060/22060	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Nov%202015%2003:49:48%20GMT	http://www.bobsrehabcentre.com/assets/js/jquery.prettyPhoto.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/js/jquery.prettyPhoto.js	(from http://www.bobsrehabcentre.com/)
16:43:14	16033/16033	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Nov%202015%2003:49:48%20GMT	http://www.bobsrehabcentre.com/assets/js/jquery.isotope.min.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/js/jquery.isotope.min.js	(from http://www.bobsrehabcentre.com/)
16:43:14	719/719	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Nov%202015%2003:49:48%20GMT	http://www.bobsrehabcentre.com/assets/js/custom.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/js/custom.js	(from http://www.bobsrehabcentre.com/)
16:43:16	96381/96381	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://www.bobsrehabcentre.com/)
16:43:17	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Nov%202015%2003:49:44%20GMT	http://www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.eot	(from http://www.bobsrehabcentre.com/assets/css/bootstrap.css)
16:43:17	62927/62927	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2022%20Nov%202015%2003:49:44%20GMT	http://www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.svg	(from http://www.bobsrehabcentre.com/assets/css/bootstrap.css)
16:43:18	19788/19788	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Nov%202015%2003:49:42%20GMT	http://www.bobsrehabcentre.com/assets/css/prettyPhoto.css	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/css/prettyPhoto.css	(from http://www.bobsrehabcentre.com/assets/css/style.css)
16:43:18	50809/50809	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Nov%202015%2003:49:42%20GMT	http://www.bobsrehabcentre.com/assets/css/hoverex-all.css	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/css/hoverex-all.css	(from http://www.bobsrehabcentre.com/assets/css/style.css)
16:43:18	23320/23320	---M--	200	added ('OK')	font/woff	date:Sun,%2022%20Nov%202015%2003:49:45%20GMT	http://www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.woff	(from http://www.bobsrehabcentre.com/assets/css/bootstrap.css)
16:43:19	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Nov%202015%2003:49:44%20GMT	http://www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.bobsrehabcentre.com/assets/css/bootstrap.css)
16:43:19	618/618	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jan%202019%2023:07:37%20GMT	http://www.bobsrehabcentre.com/assets/img/contact.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/contact.jpg	(from http://www.bobsrehabcentre.com/assets/css/style.css)
